Party,Parent Category,Category,Gas,Unit,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.B Fugitive Emissions from Fuels,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,42.9303,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,1.B Fugitive Emissions from Fuels,CH₄,Gg,,,,,,,,,,,,,,,,2.0443,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2. Industrial Processes,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,312.1554,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2. Industrial Processes,CO₂,Gg,,,,,,,,,,,,,,,,312.1554,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2.A Mineral Products,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,312.13,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2.A Mineral Products,CO₂,Gg,,,,,,,,,,,,,,,,312.13,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2.B Chemical Industry,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,0.0254,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,2.B Chemical Industry,CO₂,Gg,,,,,,,,,,,,,,,,0.0254,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4. Agriculture,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,15109.3,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4. Agriculture,CH₄,Gg,,,,,,,,,,,,,,,,442.69,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4. Agriculture,N₂O,Gg,,,,,,,,,,,,,,,,18.751,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.A Enteric Fermentation,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,6489.63,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.A Enteric Fermentation,CH₄,Gg,,,,,,,,,,,,,,,,309.03,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.B Manure Management,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,2091.39,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.B Manure Management,CH₄,Gg,,,,,,,,,,,,,,,,99.59,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.C Rice Cultivation,Aggregate GHGs,Gg CO₂ equivalent,,,,,,,,,,,,,,,,504.0,,,,,,,,,,
Afghanistan,Total GHG emissions including LULUCF/LUCF,4.C Rice Cultivation,CH₄,Gg,,,,,,,,,,,,,,,,24.0,,,,,,,,,,
